"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"ECFEF3","ECFEK","Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage var. kuenzleri (Castetter, Pierce & Schwerin) L.D. Benson","Kuenzler hedgehog cactus","E"
"ECREF2","","Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage ssp. fitchii (Britton & Rose) N.P. Taylor","",""
"ECREF2","ECREA","Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. albertii L.D. Benson","black lace cactus","E"
"ECVID","","Echinocereus viridiflorus Engelm. var. davisii (A.D. Houghton) W.T. Marshall","Davis' green pitaya","E"
"ECMA2","","Echinomastus mariposensis Hester","Lloyd's mariposa cactus","T"
"ELSE2","","Elaphoglossum serpens Maxon & Morton ex Maxon","","E"
"ENNUC","","Enceliopsis nudicaulis (A. Gray) A. Nelson var. corrugata Cronquist","Ash Meadows sunray","T"
"ERFO","","Eragrostis fosbergii Whitney","Fosberg's love grass","E"
"ERPAK","","Eremalche parryi (Greene) Greene ssp. kernensis (C.B. Wolf) D.M. Bates","",""
"ERPAK","ERKE4","Eremalche kernensis C.B. Wolf","Kern mallow","E"
"ERDES","","Eriastrum densifolium (Benth.) H. Mason ssp. sanctorum (Milliken) H. Mason","Santa Ana River woolly-star","E"
"ERDED","","Erigeron decumbens Nutt. var. decumbens","Willamette daisy","E"
"ERMA8","","Erigeron maguirei Cronquist","Maguire daisy","T"
"ERPA3","","Erigeron parishii A. Gray","Parish's daisy","T"
"ERRH2","","Erigeron rhizomatus Cronquist","Zuni fleabane","T"
"ERAL12","","Eriodictyon altissimum P.V. Wells","Indian Knob mountain balm","E"
"ERCA7","","Eriodictyon capitatum Eastw.","Lompoc yerba santa","E"
"ERAP4","","Eriogonum apricum J.T. Howell","Ione buckwheat","E"
"ERGY","","Eriogonum gypsophilum Woot. & Standl.","gypsum wild-buckwheat","T"
"ERKEA2","","Eriogonum kennedyi Porter ex S. Watson var. austromontanum Munz & I.M. Johnst.","southern mountain wild-buckwheat","T"
"ERLOG","","Eriogonum longifolium Nutt. var. gnaphalifolium Gandog.","scrub buckwheat","T"
"EROVV","","Eriogonum ovalifolium Nutt. var. vineum (Small) Jeps.","Cushenbury buckwheat","E"
"EROVW","","Eriogonum ovalifolium Nutt. var. williamsiae Reveal","Steamboat buckwheat","E"
"ERPE10","","Eriogonum pelinophilum Reveal","clay-loving wild-buckwheat","E"
"ERLA8","","Eriophyllum latilobum Rydb.","San Mateo woolly sunflower","E"
"ERARP","","Eryngium aristulatum Jeps. var. parishii (J.M. Coult. & Rose) Mathias & Constance","San Diego button-celery","E"
"ERCO39","","Eryngium constancei Sheikh","Loch Lomond coyote thistle","E"
"ERCU4","","Eryngium cuneifolium Small","snakeroot","E"
"ERCAA","","Erysimum capitatum (Douglas ex Hook.) Greene var. angustatum (Greene) G. Rossb.","Contra Costa wallflower","E"
"ERME5","","Erysimum menziesii (Hook.) Wettst.","Menzies' wallflower","E"
"ERTE14","","Erysimum teretifolium Eastw.","Ben Lomond wallflower","E"
"ERPR6","","Erythronium propullans A. Gray","Minnesota dwarf trout lily","E"
"ESMI2","","Escobaria minima (Baird) D.R. Hunt","",""
"ESMI2","COMI4","Coryphantha minima Baird","Nellie cory cactus","E"
"ESRO","","Escobaria robbinsiorum (W.H. Earle) D.R. Hunt","",""
"ESRO","CORO3","Coryphantha robbinsiorum (W.H. Earle) A.D. Zimmerman","Cochise pincushion cactus","T"
